,Month Name,Month,Year,Avg Temp (F),Avg Temp (C)
4,January,1,2015,26.35483870967742,-3.136200716845878
3,February,2,2015,19.25,-7.083333333333333
7,March,3,2015,33.483870967741936,0.824372759856631
0,April,4,2015,48.266666666666666,9.037037037037036
8,May,5,2015,62.54838709677419,16.971326164874554
6,June,6,2015,64.96666666666667,18.314814814814817
5,July,7,2015,74.16129032258064,23.422939068100355
1,August,8,2015,74.90322580645162,23.835125448028677
11,September,9,2015,69.46666666666667,20.814814814814817
10,October,10,2015,54.32258064516129,12.40143369175627
9,November,11,2015,48.8,9.333333333333332
2,December,12,2015,45.54838709677419,7.526881720430107
